Name,Cost,Set Name,R,High,Med,Low
 Abstruse Interference,2U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Affa Protector,2W, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Akoum Flameseeker,2R, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Allied Reinforcements,3W, Oath of the Gatewatch,U,1.90 ,0.21 ,0.02 
 Ancient Crab,1UU, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Angel Token (3/3),, Oath of the Gatewatch,T,0.99 ,0.23 ,0.03 
" Ayli, Eternal Pilgrim",WB, Oath of the Gatewatch,R,2.32 ,0.65 ,0.25 
 Baloth Null,4BG, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Baloth Pup,1G, Oath of the Gatewatch,U,1.20 ,0.22 ,0.02 
 Bearer of Silence,1B, Oath of the Gatewatch,R,5.00 ,0.35 ,0.08 
 Birthing Hulk,6G, Oath of the Gatewatch,U,1.00 ,0.21 ,0.02 
 Blinding Drone,1U, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Bonds of Mortality,1G, Oath of the Gatewatch,U,1.20 ,0.20 ,0.04 
 Bone Saw,0, Oath of the Gatewatch,C,1.00 ,0.17 ,0.05 
 Boulder Salvo,4R, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Brute Strength,1R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Call the Gatewatch,2W, Oath of the Gatewatch,R,3.37 ,0.39 ,0.14 
 Canopy Gorger,4GG, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Captain's Claws,2, Oath of the Gatewatch,R,2.37 ,0.47 ,0.10 
" Chandra, Flamecaller",4RR, Oath of the Gatewatch,M,14.95 ,2.99 ,1.75 
 Chitinous Cloak,3, Oath of the Gatewatch,U,1.20 ,0.21 ,0.01 
 Cinder Barrens,, Oath of the Gatewatch,U,1.00 ,0.20 ,0.04 
 Cinder Hellion,4R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Cliffhaven Vampire,2WB, Oath of the Gatewatch,U,2.49 ,0.35 ,0.08 
 Comparative Analysis,3U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Consuming Sinkhole,3R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Containment Membrane,2U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Corpse Churn,1B, Oath of the Gatewatch,C,0.95 ,0.15 ,0.01 
 Corrupted Crossroads,, Oath of the Gatewatch,R,2.37 ,0.37 ,0.09 
 Crumbling Vestige,, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Crush of Tentacles,4UU, Oath of the Gatewatch,M,3.99 ,1.29 ,0.25 
 Cultivator Drone,2U, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Cyclone Sire,4U, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Dazzling Reflection,1W, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Deceiver of Form,6C, Oath of the Gatewatch,R,3.37 ,0.33 ,0.09 
 Deepfathom Skulker,5U, Oath of the Gatewatch,R,2.37 ,0.32 ,0.07 
 Devour in Flames,2R, Oath of the Gatewatch,U,1.20 ,0.22 ,0.01 
 Dimensional Infiltrator,1U, Oath of the Gatewatch,R,2.37 ,0.34 ,0.06 
 Drana's Chosen,3B, Oath of the Gatewatch,R,2.37 ,0.30 ,0.05 
 Dread Defiler,6B, Oath of the Gatewatch,R,3.37 ,0.30 ,0.08 
 Eldrazi Aggressor,2R, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Eldrazi Displacer,2W, Oath of the Gatewatch,R,9.70 ,2.49 ,1.50 
 Eldrazi Mimic,2, Oath of the Gatewatch,R,10.00 ,0.72 ,0.35 
 Eldrazi Obligator,2R, Oath of the Gatewatch,R,5.00 ,0.51 ,0.06 
 Eldrazi Scion Token (1),, Oath of the Gatewatch,T,0.99 ,0.14 ,0.03 
 Eldrazi Scion Token (2),, Oath of the Gatewatch,T,0.99 ,0.15 ,0.02 
 Eldrazi Scion Token (3),, Oath of the Gatewatch,T,0.99 ,0.15 ,0.03 
 Eldrazi Scion Token (4),, Oath of the Gatewatch,T,0.99 ,0.16 ,0.04 
 Eldrazi Scion Token (5),, Oath of the Gatewatch,T,0.99 ,0.17 ,0.05 
 Eldrazi Scion Token (6),, Oath of the Gatewatch,T,0.99 ,0.17 ,0.05 
 Elemental Token (Green),, Oath of the Gatewatch,T,0.99 ,0.18 ,0.03 
 Elemental Token (Red),, Oath of the Gatewatch,T,0.99 ,0.16 ,0.03 
 Elemental Uprising,1G, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Embodiment of Fury,3R, Oath of the Gatewatch,U,1.20 ,0.22 ,0.01 
 Embodiment of Insight,4G, Oath of the Gatewatch,U,1.20 ,0.21 ,0.02 
 Endbringer,5C, Oath of the Gatewatch,R,49.00 ,0.60 ,0.24 
 Essence Depleter,2B, Oath of the Gatewatch,U,1.27 ,0.21 ,0.02 
 Expedite,R, Oath of the Gatewatch,C,1.00 ,0.16 ,0.03 
 Expedition Raptor,3WW, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Fall of the Titans,XXR, Oath of the Gatewatch,R,2.37 ,0.36 ,0.08 
